model_name,bp,mf,cc,avg,color
Naive,0.1886,0.4069,0.3003,0.2986,#969696
GO-GPT-v1,0.4346,0.6564,0.6379,0.5763,#ffb1fd
GO-GPT-v2,0.4737,0.6868,0.6694,0.6100,#db54da
BioReason2-v1-e2_no-protein,0.1228,0.3945,0.3365,0.2846,#b3ffe3
BioReason2-v1-e2,0.2210,0.5214,0.4933,0.4119,#80ffd3
BioReason2-v1-e3,0.2534,0.5671,0.5342,0.4515,#4dffe0
BioReason2-v1-e5,0.2856,0.6222,0.5642,0.4906,#33ffd8
BioReason2-v2-e3,0.2810,0.5963,0.5467,0.4747,#26ffd0
BioReason2-v2-e5,0.2993,0.6196,0.5533,0.4907,#1affc8
BioReason2-v3-e5,0.3118,0.6519,0.5828,0.5155,#17ffc3
BioReason2-v4-e5,0.3676,0.6528,0.6041,0.5415,#14e6a8
BioReason2-v4.5-e8,0.3887,0.6899,0.6235,0.5674,#11cc8d
BioReason2-v5-e8,0.4387,0.7045,0.6656,0.6029,#0eb372
